,Protein,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Selenium,Vitamin A,Vitamin C,Thiamin,Riboflavin,Niacin,Folate,Choline,Vitamin E,Cholesterol,Pantothenic acid,Manganese,Biotin
endive,2.5,4.0,4.611111111111111,3.571428571428571,2.2399999999999998,6.680851063829787,0.9565217391304347,7.1818181818181825,11.0,0.36363636363636365,12.0,7.222222222222221,6.666666666666667,5.769230769230769,2.5,35.5,3.0545454545454547,0.0,0.0,18.0,18.26086956521739,0.0
fennel,2.84,4.3076923076923075,4.666666666666666,4.523809523809524,4.5600000000000005,10.042553191489361,8.782608695652174,2.090909090909091,8.333333333333332,1.4545454545454546,7.222222222222221,12.88888888888889,0.8333333333333334,2.6923076923076925,4.33125,6.5,2.7818181818181817,0.0,0.6666666666666667,0.0,0.0,0.0
feta,0.0,0.0,0.0,0.0,0.0,0.0,29.52173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fig,0.0,1.153846153846154,0.0,0.0,0.0,2.2340425531914896,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,22.0,1.2307692307692308,4.666666666666666,5.952380952380952,15.28,3.9361702127659575,17.47826086956522,3.818181818181818,6.5555555555555545,28.545454545454547,0.4444444444444444,0.0,10.166666666666666,8.923076923076923,9.625,6.0,7.781818181818181,0.0,9.333333333333334,5.44,7.91304347826087,0.0
garlic,0.0,51.30769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat cheese,50.0,54.92307692307692,0.0,0.0,0.0,0.0,29.52173913043478,0.0,0.0,0.0,198.88888888888889,4.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
gouda,50.0,54.92307692307692,0.0,0.0,0.0,0.0,40.391304347826086,0.0,0.0,0.0,118.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.66666666666667,0.0,0.0,0.0
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869568,0.0,0.0,0.0,0.0,22.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green bean,0.0,1.3076923076923077,1.6666666666666667,0.0,0.0,0.0,14.000000000000002,0.0,0.0,0.0,27.555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ham,38.08,0.6153846153846154,4.666666666666666,4.761904761904762,22.08,7.8936170212765955,49.95652173913043,16.727272727272727,13.777777777777779,61.45454545454545,1.4444444444444444,0.0,35.5,14.692307692307693,37.84375,0.25,13.745454545454544,0.0,18.0,0.0,0.0,0.0
hamburger,7.06,0.0,2.333333333333333,0.0,0.0,0.0,14.304347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
hazelnut,14.64,11.23076923076923,24.38888888888889,0.0,0.0,0.0,3.173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
honey,0.6,0.46153846153846156,2.333333333333333,0.4761904761904762,0.32,1.1063829787234043,0.17391304347826086,2.0,3.9999999999999996,1.4545454545454546,0.0,0.5555555555555556,0.0,2.923076923076923,0.75625,0.5,0.4,0.0,0.0,1.36,3.4782608695652173,0.0
hummus,14.279999999999998,5.461538461538462,7.166666666666667,0.0,0.0,0.0,20.17391304347826,0.0,0.0,0.0,39.666666666666664,9.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice cream,6.16,9.461538461538462,0.0,0.0,0.0,3.9361702127659575,2.3478260869565215,0.0,0.0,0.0,34.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666668,0.0,0.0,0.0
jalapeño,34.4,4.0,1.8888888888888888,0.0,0.0,2.1914893617021276,34.47826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
kale,7.08,10.23076923076923,8.833333333333334,8.333333333333332,4.24,9.51063829787234,1.9130434782608694,0.0,29.444444444444446,0.0,1722.2222222222222,135.55555555555557,0.0,9.23076923076923,6.625,7.000000000000001,0.0,0.0,0.0,0.0,43.47826086956522,0.0
kiwi,2.7,3.1538461538461537,1.3333333333333333,0.0,0.0,6.617021276595744,0.0,0.0,0.0,0.0,7.555555555555555,103.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lamb,34.0,0.0,8.055555555555555,0.0,0.0,0.0,3.304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.666666666666668,0.0,0.0,0.0
lemon,0.0,0.0,0.0,0.0,0.0,0.0,34.78260869565217,0.0,0.0,0.0,0.0,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lentil,7.359999999999999,1.9230769230769231,7.888888888888888,5.476190476190476,6.239999999999999,6.212765957446809,16.652173913043477,5.363636363636363,17.11111111111111,2.727272727272727,4.111111111111112,8.555555555555555,5.833333333333334,4.769230769230769,5.0375000000000005,15.75,3.472727272727273,0.0,0.0,0.0,0.0,0.0
lettuce,1.8399999999999999,2.3846153846153846,1.4444444444444446,2.619047619047619,1.8399999999999999,5.297872340425532,1.0,2.3636363636363638,4.444444444444445,1.0909090909090908,33.55555555555556,8.88888888888889,5.500000000000001,4.923076923076923,2.0187500000000003,9.5,1.9090909090909092,0.0,0.0,0.0,0.0,0.0
